shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LBIFERRY_IN,39.589568,-74.340833,64,
LBIFERRY_IN,39.589753,-74.340687,65,
LBIFERRY_IN,39.58985,-74.34054,66,
LBIFERRY_IN,39.589943,-74.340481,67,
LBIFERRY_IN,39.590061,-74.340467,68,
LBIFERRY_IN,39.590238,-74.34051,69,
LBIFERRY_IN,39.590432,-74.340482,70,
LBIFERRY_IN,39.590816,-74.340329,71,
LBIFERRY_IN,39.590911,-74.340285,72,
LBIFERRY_IN,39.591023,-74.340299,73,
LBIFERRY_IN,39.591106,-74.340337,74,
LBIFERRY_IN,39.5912,-74.340476,75,
LBIFERRY_IN,39.591264,-74.340721,76,
LBIFERRY_IN,39.591291,-74.340889,77,
LBIFERRY_IN,39.591318,-74.341038,78,
LBIFERRY_IN,39.591395,-74.341138,79,
LBIFERRY_IN,39.591658,-74.341201,80,
LBIFERRY_IN,39.591957,-74.341111,81,
LBIFERRY_IN,39.592091,-74.34104,82,
LBIFERRY_IN,39.592281,-74.340843,83,
LBIFERRY_IN,39.592472,-74.340701,84,
LBIFERRY_IN,39.592676,-74.34068,85,
LBIFERRY_IN,39.592903,-74.340767,86,
LBIFERRY_IN,39.593083,-74.340914,87,
LBIFERRY_IN,39.593207,-74.341091,88,
LBIFERRY_IN,39.593264,-74.34133,89,
LBIFERRY_IN,39.593429,-74.341774,90,
LBIFERRY_IN,39.593738,-74.342249,91,
LBIFERRY_IN,39.593836,-74.342345,92,
LBIFERRY_IN,39.593946,-74.342417,93,
LBIFERRY_IN,39.594023,-74.342423,94,
LBIFERRY_IN,39.594207,-74.342301,95,
LBIFERRY_IN,39.594551,-74.341942,96,
LBIFERRY_IN,39.594843,-74.341735,97,
LBIFERRY_IN,39.595018,-74.341717,98,
LBIFERRY_IN,39.595273,-74.341834,99,
LBIFERRY_IN,39.595537,-74.341951,100,
LBIFERRY_IN,39.596256,-74.341893,101,
LBIFERRY_IN,39.596492,-74.341888,102,
LBIFERRY_IN,39.59675,-74.341748,103,
LBIFERRY_IN,39.597026,-74.341455,104,
LBIFERRY_IN,39.597818,-74.34093,105,
LBIFERRY_IN,39.598111,-74.340756,106,
LBIFERRY_IN,39.598348,-74.340538,107,
LBIFERRY_IN,39.5985,-74.340306,108,
LBIFERRY_IN,39.598623,-74.340172,109,
LBIFERRY_IN,39.598859,-74.340128,110,
LBIFERRY_IN,39.599066,-74.340163,111,
LBIFERRY_IN,39.599444,-74.340462,112,
LBIFERRY_IN,39.599708,-74.340561,113,
LBIFERRY_IN,39.600336,-74.340536,114,
LBIFERRY_IN,39.600689,-74.34061,115,
LBIFERRY_IN,39.601139,-74.340927,116,
LBIFERRY_IN,39.601272,-74.341063,117,
LBIFERRY_IN,39.601339,-74.341337,118,
LBIFERRY_IN,39.601335,-74.34162,119,
LBIFERRY_IN,39.601391,-74.341943,120,
LBIFERRY_IN,39.601484,-74.342092,121,
LBIFERRY_IN,39.601762,-74.342386,122,
