cluster,geometry,totalPickUp,totalDropOff,stopTimeCount,stop_lon,stop_lat,nearest_distance
7829,POINT (-74.266172 40.63510000000001),0,0,343,-74.266172,40.63510000000001,218.73561027957842
7830,POINT (-74.260873 40.641339),0,0,168,-74.260873,40.641339,139.7857735653827
7831,POINT (-74.261621 40.640218),0,0,175,-74.261621,40.640218,107.56005414188148
7832,POINT (-74.289023 40.60550699999999),0,0,66,-74.289023,40.60550699999999,174.54226360712576
7833,POINT (-74.28539 40.61587899999999),0,0,66,-74.28539,40.61587899999999,205.51281130948308
7834,POINT (-74.290933 40.5884),0,0,35,-74.290933,40.5884,248.55401230499928
7835,POINT (-74.29362400000001 40.580949),0,0,35,-74.29362400000001,40.580949,353.6245931347527
7836,POINT (-75.16009650160063 39.83170950077562),0,0,54,-75.16009650160063,39.83170950077562,197.14720528453495
7837,POINT (-75.162302 39.830778),0,0,43,-75.162302,39.830778,213.36812423822343
7838,POINT (-75.157542 39.832808),0,0,60,-75.157542,39.832808,154.59292969494132
7839,POINT (-75.469301 39.698919),0,0,68,-75.469301,39.698919,440.0660647652376
7840,POINT (-75.369811 39.627838999999994),0,0,66,-75.369811,39.627838999999994,187.35137503471609
7841,POINT (-74.867692 40.058719),0,0,120,-74.867692,40.058719,270.4240492957107
7842,POINT (-74.239702 40.689329),0,0,414,-74.239702,40.689329,125.2629009289667
7843,POINT (-74.25445750014288 40.67851950005017),0,0,92,-74.25445750014288,40.67851950005017,229.11605988477953
7844,POINT (-74.866503 40.06705),0,0,120,-74.866503,40.06705,216.3656430996289
7845,POINT (-74.259873 40.677787000000016),0,0,46,-74.259873,40.677787000000016,107.82738029271817
7846,POINT (-74.263661 40.677367999999994),0,0,92,-74.263661,40.677367999999994,189.06915580594878
7847,POINT (-74.866683 40.06510899999999),0,0,120,-74.866683,40.06510899999999,215.91147514796066
7848,POINT (-74.257092 40.67804),0,0,92,-74.257092,40.67804,130.29872138489645
7849,POINT (-74.245871 40.68376899999999),0,0,92,-74.245871,40.68376899999999,263.63283142459187
7850,POINT (-74.26145200008037 40.677628500035325),0,0,92,-74.26145200008037,40.677628500035325,134.70964002053728
7851,POINT (-74.866821 40.061059),0,0,60,-74.866821,40.061059,234.6350156318718
7852,POINT (-74.266114 40.677039000000015),0,0,92,-74.266114,40.677039000000015,126.66115666533697
7853,POINT (-74.866791 40.06316899999999),0,0,120,-74.866791,40.06316899999999,215.91147514796066
7854,POINT (-74.248582 40.682599),0,0,92,-74.248582,40.682599,157.07107282505717
7855,POINT (-74.894632 40.031617999999995),0,0,59,-74.894632,40.031617999999995,236.65124663185117
7856,POINT (-74.89566300108216 40.029639500216405),8,8,67,-74.89566300108216,40.029639500216405,236.65124663185117
7857,POINT (-74.251912 40.68018),0,0,92,-74.251912,40.68018,232.39137424721332
7858,POINT (-74.866211 40.07029999999999),0,0,120,-74.866211,40.07029999999999,109.75595727452203
7859,POINT (-74.258632 40.678008999999996),0,0,46,-74.258632,40.678008999999996,107.82738029271817
7860,POINT (-74.869191 40.05396799999999),0,0,120,-74.869191,40.05396799999999,198.71266582738545
7861,POINT (-74.249932 40.681629),0,0,92,-74.249932,40.681629,157.07107282505717
7862,POINT (-74.869721 40.052226999999995),0,0,120,-74.869721,40.052226999999995,198.71266582738545
7863,POINT (-74.4239805002603 40.58551850091991),0,0,35,-74.4239805002603,40.58551850091991,212.85932442689878
7864,POINT (-74.42756000125515 40.583969000543796),0,0,35,-74.42756000125515,40.583969000543796,233.50588353517702
7865,POINT (-74.42021 40.585728),0,0,17,-74.42021,40.585728,108.63416474660134
7866,POINT (-74.421491 40.585799),0,0,18,-74.421491,40.585799,108.63416474660134
7867,POINT (-75.457192 39.73110899999999),0,0,39,-75.457192,39.73110899999999,119.396206713815
7868,POINT (-74.236463 40.736549999999994),0,0,519,-74.236463,40.736549999999994,142.0906727744018
7869,POINT (-74.23535100000001 40.738898),0,0,519,-74.23535100000001,40.738898,268.37656794937686
7870,POINT (-74.226531 40.75845799999999),0,0,4,-74.226531,40.75845799999999,327.9066884972619
7871,POINT (-74.22794600071083 40.75571250016024),0,0,4,-74.22794600071083,40.75571250016024,153.3152480504112
7872,POINT (-74.228533 40.75440799999999),0,0,119,-74.228533,40.75440799999999,150.79566510963053
7873,POINT (-74.22968 40.752528),0,0,59,-74.22968,40.752528,230.46037413517791
7874,POINT (-74.81224 40.239599),0,0,13,-74.81224,40.239599,423.6916014213129
7875,POINT (-74.816822 40.241139),0,0,13,-74.816822,40.241139,423.6916014213129
7876,POINT (-74.80301 40.237579000000004),0,0,81,-74.80301,40.237579000000004,114.43676628955835
7877,POINT (-74.16833599891811 40.74032350015254),0,0,550,-74.16833599891811,40.74032350015254,132.64289736518722
7878,POINT (-74.871261 39.02217900000001),0,0,39,-74.871261,39.02217900000001,753.8814691664106
7879,POINT (-74.29802200102495 40.477615000886786),0,0,127,-74.29802200102495,40.477615000886786,715.9944829746379
7880,POINT (-74.839042 40.270630000000004),0,0,95,-74.839042,40.270630000000004,123.80142062611262
7881,POINT (-74.837871 40.271297999999994),0,0,47,-74.837871,40.271297999999994,123.80142062611262
7882,POINT (-74.834902 40.274117999999994),0,0,48,-74.834902,40.274117999999994,401.7289295158194
7883,POINT (-74.59361 40.33561799999999),0,0,83,-74.59361,40.33561799999999,266.91661513116276
7884,POINT (-74.24982100000001 40.313729),0,0,31,-74.24982100000001,40.313729,546.8930265810023
7885,POINT (-73.982592 40.97210899999999),0,0,121,-73.982592,40.97210899999999,309.06424618756677
7886,POINT (-73.980542 40.97679800000001),0,0,65,-73.980542,40.97679800000001,240.91651937697299
7887,POINT (-73.982923 40.96841),0,0,121,-73.982923,40.96841,339.2501407824834
7888,POINT (-73.983823 40.957988),0,0,121,-73.983823,40.957988,212.3839940558085
7889,POINT (-73.983833 40.95989799999999),0,0,121,-73.983833,40.95989799999999,212.3839940558085
7890,POINT (-73.981572 40.97477800000001),0,0,121,-73.981572,40.97477800000001,240.91651937697299
7891,POINT (-73.98323 40.965368),0,0,121,-73.98323,40.965368,339.2501407824834
7892,POINT (-74.318169 41.407502),2,0,7,-74.318169,41.407502,932.5378296115732
