ActualBusStop,PredictedBusStop,Error,PopulationSum,HospitalSum,ShoppingMalSum,pickUpSum,dropOffSum,stopTimeSum,radius(miles),radius(meters),centroid,lon,lat
1.0,0.53,0.47,538,0.0,0.0,0.0,0.0,21.0,0.45,724.72,POINT (-75.04521904447887 39.50508055882214),-75.045,39.505
3.0,1.74,1.26,1035,0.0,0.0,0.0,0.0,792.0,0.45,724.72,POINT (-75.04537674889723 39.74694438197503),-75.045,39.747
1.0,0.7,0.3,607,0.0,0.0,0.0,0.0,132.0,0.45,724.72,POINT (-75.04539659606198 39.77717664945431),-75.045,39.777
3.0,1.23,1.77,980,0.0,0.0,0.0,0.0,391.0,0.45,724.72,POINT (-75.04545631757401 39.86787250395348),-75.045,39.868
6.0,2.8,3.2,3810,0.0,0.0,0.0,0.0,286.0,0.45,724.72,POINT (-75.04547628491878 39.89810413937567),-75.045,39.898
10.0,1.8,8.2,625,0.0,1.0,0.0,0.0,1048.0,0.45,724.72,POINT (-75.045496282435 39.928335616710605),-75.045,39.928
12.0,3.7,8.3,3161,0.0,0.0,0.0,0.0,1366.0,0.45,724.72,POINT (-75.04551631017351 39.95856693592938),-75.046,39.959
5.0,1.14,3.86,718,0.0,0.0,0.0,0.0,449.0,0.45,724.72,POINT (-75.04553636818525 39.98879809700333),-75.046,39.989
4.0,1.29,2.71,1032,0.0,0.0,0.0,0.0,415.0,0.45,724.72,POINT (-75.03372087484163 39.38414873143702),-75.034,39.384
5.0,1.67,3.33,1073,0.0,0.0,0.0,0.0,710.0,0.45,724.72,POINT (-75.03373543519758 39.41438289632653),-75.034,39.414
1.0,0.41,0.59,189,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.03380856686249 39.56555135617181),-75.034,39.566
4.0,1.12,2.88,403,0.0,0.0,0.0,0.0,592.0,0.45,724.72,POINT (-75.03388225170634 39.716715872158794),-75.034,39.717
4.0,0.9,3.1,461,0.0,0.0,0.0,0.0,373.0,0.45,724.72,POINT (-75.03391188157181 39.77718057341736),-75.034,39.777
3.0,2.72,0.28,3870,0.0,0.0,0.0,0.0,187.0,0.45,724.72,POINT (-75.03392673006711 39.80741268711177),-75.034,39.807
5.0,2.03,2.97,1849,0.0,0.0,0.0,0.0,624.0,0.45,724.72,POINT (-75.03395649437087 39.867876440483066),-75.034,39.868
8.0,3.45,4.55,3555,0.0,0.0,0.0,0.0,960.0,0.45,724.72,POINT (-75.0339714102548 39.898108080101366),-75.034,39.898
5.0,1.5,3.5,1503,0.0,0.0,0.0,0.0,352.0,0.45,724.72,POINT (-75.0339863486772 39.92833956163605),-75.034,39.928
7.0,3.44,3.56,3739,0.0,0.0,0.0,0.0,858.0,0.45,724.72,POINT (-75.03400130967609 39.958570885058215),-75.034,39.959
5.0,0.48,4.52,5,0.0,0.0,0.0,0.0,251.0,0.45,724.72,POINT (-75.0340162932895 39.98880205033924),-75.034,39.989
1.0,1.14,-0.14,1407,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.02230084541877 39.38415148051833),-75.022,39.384
1.0,0.65,0.35,587,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.02231047471489 39.41438564834796),-75.022,39.414
1.0,0.75,0.25,758,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.02232011852313 39.44461965858196),-75.022,39.445
1.0,1.2,-0.2,1512,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.02233944977247 39.50508720613676),-75.022,39.505
1.0,0.53,0.47,398,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.02234913726207 39.53532074339472),-75.022,39.535
3.0,1.25,1.75,1443,0.0,0.0,0.0,0.0,178.0,0.45,724.72,POINT (-75.02240756984396 39.71671865372005),-75.022,39.717
5.0,2.14,2.86,2046,0.0,0.0,0.0,0.0,621.0,0.45,724.72,POINT (-75.0224173601106 39.7469510862857),-75.022,39.747
4.0,3.02,0.98,4157,0.0,0.0,0.0,0.0,300.0,0.45,724.72,POINT (-75.0224369850114 39.80741547758462),-75.022,39.807
4.0,2.46,1.54,2744,0.0,0.0,0.0,0.0,540.0,0.45,724.72,POINT (-75.02246653365434 39.89811087950894),-75.022,39.898
2.0,1.55,0.45,2238,0.0,0.0,0.0,0.0,30.0,0.45,724.72,POINT (-75.02247641297969 39.928342364027024),-75.022,39.928
10.0,3.13,6.87,2114,0.0,0.0,0.0,0.0,1416.0,0.45,724.72,POINT (-75.02248630723567 39.958573690435216),-75.022,39.959
4.0,1.33,2.67,970,0.0,0.0,0.0,0.0,480.0,0.45,724.72,POINT (-75.02249621644746 39.98880485870482),-75.022,39.989
2.0,0.34,1.66,200,0.0,0.0,32.0,32.0,32.0,0.45,724.72,POINT (-75.02274888231946 40.74453259019686),-75.023,40.745
1.0,0.48,0.52,299,0.0,0.0,0.0,0.0,99.0,0.45,724.72,POINT (-75.01088081475112 39.38415310879908),-75.011,39.384
2.0,0.72,1.28,504,0.0,0.0,0.0,0.0,198.0,0.45,724.72,POINT (-75.01089021830018 39.444621290347044),-75.011,39.445
2.0,1.53,0.47,1957,0.0,0.0,0.0,0.0,150.0,0.45,724.72,POINT (-75.01093766348721 39.74695273556224),-75.011,39.747
1.0,0.84,0.16,873,0.0,0.0,0.0,0.0,120.0,0.45,724.72,POINT (-75.0109424474724 39.77718501195311),-75.011,39.777
1.0,2.77,-1.77,4149,0.0,0.0,0.0,0.0,88.0,0.45,724.72,POINT (-75.01094723868145 39.807417130381566),-75.011,39.807
8.0,3.14,4.86,2946,0.0,0.0,0.0,0.0,1009.0,0.45,724.72,POINT (-75.0109520371265 39.83764909081809),-75.011,39.838
8.0,3.93,4.07,3483,1.0,0.0,0.0,0.0,1404.0,0.45,724.72,POINT (-75.01096647599935 39.9283440238831),-75.011,39.928
4.0,2.12,1.88,2538,0.0,0.0,0.0,0.0,352.0,0.45,724.72,POINT (-75.01097130351029 39.958575352059896),-75.011,39.959
1.0,1.09,-0.09,1267,0.0,0.0,0.0,0.0,127.0,0.45,724.72,POINT (-75.01097613831831 39.988806522099644),-75.011,39.989
1.0,0.64,0.36,552,0.0,0.0,0.0,0.0,111.0,0.45,724.72,POINT (-75.01098098043576 40.01903753397391),-75.011,40.019
