shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R1,41.07041,-74.75202,4751
R1,41.07095,-74.7532,4761
R1,41.07273,-74.75404,4771
R1,41.07347,-74.75497,4781
R1,41.07296,-74.75578,4791
R1,41.07201,-74.75645,4801
R1,41.07081,-74.75782,4811
R1,41.0697,-74.75881,4821
R1,41.06842,-74.7599,4831
R1,41.06694,-74.75928,4841
R1,41.06684,-74.75921,4851
R1,41.06672,-74.75901,4861
R1,41.06615,-74.75674,4871
R1,41.06602,-74.75652,4881
R1,41.06582,-74.75632,4891
R1,41.06558,-74.75624,4901
R1,41.06515,-74.75622,4911
R1,41.0649,-74.7561,4921
R1,41.06492,-74.75573,4931
R1,41.06489,-74.75541,4941
R1,41.06479,-74.75512,4951
R1,41.06397,-74.75548,4961
R1,41.063595,-74.755493,4971
R1,41.063209,-74.754099,4981
R1,41.062115,-74.752905,4991
R1,41.060962,-74.751328,5001
R1,41.06124,-74.75107,5011
R1,41.06326,-74.74888,5021
R1,41.06453,-74.74767,5031
R1,41.063915,-74.746339,5041
R1,41.064125,-74.746132,5051
R1,41.063619,-74.745119,5061
R1,41.064305,-74.744571,5071
R1,41.065662,-74.746441,5081
R1,41.06648,-74.74537,5091
R1,41.06695,-74.74483,5101
R1,41.07074,-74.74124,5111
R1,41.07074,-74.74124,5121
R1,41.06846,-74.74341,5131
R1,41.07139,-74.74058,5141
R1,41.07064,-74.73882,5151
R1,41.07019,-74.73934,5161
R1,41.06921,-74.74035,5171
R1,41.06899,-74.74106,5181
R1,41.06953,-74.742227,5191
R1,41.070372,-74.743769,5201
R1,41.069223,-74.744834,5211
R2,41.069223,-74.744834,5221
R2,41.068709,-74.744051,5231
R2,41.067652,-74.745215,5241
R2,41.067514,-74.745953,5251
R2,41.068052,-74.747653,5261
R2,41.067963,-74.748428,5271
R2,41.067468,-74.749794,5281
R2,41.069662,-74.750588,5291
R2,41.07041,-74.75202,5301
R2,41.07095,-74.7532,5311
R2,41.07273,-74.75404,5321
R2,41.07347,-74.75497,5331
R2,41.07296,-74.75578,5341
R2,41.07201,-74.75645,5351
R2,41.07081,-74.75782,5361
R2,41.0697,-74.75881,5371
R2,41.06842,-74.7599,5381
R2,41.06694,-74.75928,5391
R2,41.06684,-74.75921,5401
R2,41.06672,-74.75901,5411
R2,41.06615,-74.75674,5421
R2,41.06602,-74.75652,5431
R2,41.06582,-74.75632,5441
R2,41.06558,-74.75624,5451
R2,41.06515,-74.75622,5461
R2,41.0649,-74.7561,5471
R2,41.06492,-74.75573,5481
R2,41.06489,-74.75541,5491
R2,41.06479,-74.75512,5501
R2,41.0663,-74.75435,5511
R2,41.06718,-74.75383,5521
R2,41.06698,-74.75293,5531
R2,41.06668,-74.75313,5541
R2,41.066222,-74.754356,5551
R2,41.06397,-74.75548,5561
R2,41.0644,-74.75532,5571
R2,41.06397,-74.75548,5581
R2,41.06289,-74.75574,5591
R2,41.06196,-74.75578,5601
R2,41.06167,-74.7557,5611
R2,41.06136,-74.75549,5621
R2,41.06099,-74.75499,5631
R2,41.06038,-74.75396,5641
R2,41.05975,-74.75278,5651
R2,41.05939,-74.75305,5661
R2,41.05862,-74.75345,5671
R2,41.05855,-74.75376,5681
R2,41.05843,-74.75402,5691
R2,41.05809,-74.75446,5701
R2,41.05756,-74.75533,5711
R2,41.05693,-74.75721,5721
R2,41.05691,-74.75749,5731
R2,41.05704,-74.76191,5741
R2,41.057,-74.76225,5751
R2,41.05591,-74.76443,5761
R2,41.055637,-74.764988,5771
R2,41.05591,-74.76545,5781
R2,41.056494,-74.766371,5791
R2,41.05734,-74.7668,5801
R2,41.05813,-74.7663,5811
R2,41.05838,-74.7663,5821
R2,41.058181,-74.766791,5831
R2,41.057245,-74.767901,5841
R2,41.05633,-74.76882,5851
R2,41.05631,-74.76872,5861
R2,41.05612,-74.7685,5871
R2,41.05454,-74.76698,5881
R2,41.05591,-74.76443,5891
R2,41.057,-74.76225,5901
R2,41.05704,-74.76191,5911
R2,41.05691,-74.75749,5921
R2,41.05693,-74.75721,5931
R2,41.05756,-74.75533,5941
R2,41.05835,-74.7541,5951
R2,41.05836,-74.75399,5961
R2,41.05835,-74.75389,5971
R2,41.05824,-74.75368,5981
R2,41.05768,-74.75287,5991
R2,41.05806,-74.75244,6001
R2,41.05844,-74.75299,6011
R2,41.05871,-74.75308,6021
R2,41.05939,-74.75305,6031
R2,41.05975,-74.75278,6041
R2,41.05809,-74.75037,6051
R2,41.056919,-74.748595,6061
R2,41.056187,-74.749705,6071
R2,41.05544,-74.749204,6081
R2,41.05403,-74.74927,6091
R2,41.05362,-74.74958,6101
R2,41.0525,-74.75009,6111
R2,41.05232,-74.75007,6121
R2,41.05154,-74.74974,6131
R2,41.0509,-74.74934,6141
R2,41.04863,-74.74737,6151
R2,41.04831,-74.74691,6161
R2,41.04806,-74.74635,6171
R2,41.04722,-74.74398,6181
R2,41.04658,-74.74289,6191
R2,41.04393,-74.73947,6201
R2,41.04344,-74.73908,6211
R2,41.04255,-74.73877,6221
R2,41.04227,-74.73851,6231
R2,41.04216,-74.73833,6241
R2,41.04205,-74.73789,6251
R2,41.04202,-74.73755,6261
R2,41.04204,-74.73686,6271
R2,41.04265,-74.73218,6281
R2,41.04267,-74.73152,6291
R2,41.04149,-74.721,6301
R2,41.0434,-74.72006,6311
R2,41.04251,-74.71785,6321
R2,41.04254,-74.71647,6331
R2,41.04401,-74.70972,6341
R2,41.04461,-74.70839,6351
R2,41.04521,-74.7058,6361
R2,41.04545,-74.70442,6371
R2,41.04566,-74.70282,6381
R2,41.04568,-74.6995,6391
R2,41.0457,-74.69812,6401
R2,41.04504,-74.69801,6411
R2,41.04479,-74.69783,6421
R2,41.04408,-74.69714,6431
R2,41.04351,-74.69804,6441
R2,41.04314,-74.69851,6451
R2,41.04249,-74.69906,6461
R2,41.04168,-74.69964,6471
R2,41.04125,-74.69979,6481
R2,41.03907,-74.70023,6491
R2,41.03745,-74.70091,6501
R2,41.03725,-74.70019,6511
R2,41.03562,-74.69259,6521
R2,41.03557,-74.69199,6531
R2,41.0356,-74.69116,6541
R2,41.03576,-74.69027,6551
R2,41.03707,-74.68683,6561
R2,41.03748,-74.68599,6571
R2,41.03876,-74.68386,6581
R2,41.03907,-74.68301,6591
R2,41.03922,-74.68212,6601
R2,41.03923,-74.68127,6611
R2,41.03911,-74.68042,6621
R2,41.03852,-74.67782,6631
R2,41.03821,-74.67697,6641
R2,41.03701,-74.67448,6651
R2,41.0367,-74.67368,6661
R2,41.03657,-74.67295,6671
R2,41.03655,-74.67252,6681
R2,41.03661,-74.67116,6691
R2,41.03659,-74.67053,6701
R2,41.03642,-74.66968,6711
R2,41.03624,-74.66919,6721
R2,41.03528,-74.66713,6731
R2,41.03416,-74.66491,6741
R2,41.03398,-74.66429,6751
R2,41.03392,-74.66385,6761
R2,41.03392,-74.66345,6771
R2,41.03401,-74.66286,6781
R2,41.03419,-74.66229,6791
R2,41.03436,-74.66196,6801
R2,41.03484,-74.66134,6811
R2,41.03595,-74.66027,6821
R2,41.03659,-74.65931,6831
R2,41.03693,-74.65857,6841
R2,41.03729,-74.65757,6851
R2,41.0376,-74.65643,6861
R2,41.03792,-74.65442,6871
R2,41.03807,-74.65396,6881
R2,41.03884,-74.65229,6891
R2,41.03907,-74.65152,6901
R2,41.03922,-74.65073,6911
R2,41.03952,-74.64698,6921
R2,41.03965,-74.64485,6931
R2,41.03966,-74.6424,6941
R2,41.03894,-74.64177,6951
R2,41.03815,-74.64083,6961
R2,41.03762,-74.63988,6971
R2,41.03608,-74.63661,6981
R2,41.03594,-74.63673,6991
R2,41.03486,-74.6376,7001
R2,41.03446,-74.63776,7011
R2,41.03419,-74.63784,7021
R2,41.03219,-74.63814,7031
R2,41.03179,-74.63797,7041
R2,41.03159,-74.63778,7051
R2,41.03081,-74.63665,7061
R2,41.030651,-74.636157,7071
R2,41.030863,-74.635921,7081
R2,41.031294,-74.636685,7091
R2,41.031209,-74.637063,7101
R2,41.03159,-74.63778,7111
R2,41.03179,-74.63797,7121
R2,41.03219,-74.63814,7131
R2,41.03419,-74.63784,7141
R2,41.03461,-74.63769,7151
R2,41.03532,-74.63724,7161
R2,41.03614,-74.63651,7171
R2,41.03979,-74.63233,7181
R2,41.04051,-74.63307,7191
R2,41.04167,-74.6346,7201
R2,41.04167,-74.6357,7211
R2,41.0419,-74.63614,7221
R2,41.041696,-74.635194,7231
R2,41.0419,-74.63614,7241
R2,41.04266,-74.6349,7251
R2,41.04322,-74.63373,7261
R2,41.04352,-74.63296,7271
R2,41.04377,-74.63216,7281
R2,41.04405,-74.63091,7291
R2,41.04448,-74.6282,7301
R2,41.0447,-74.62753,7311
R2,41.04531,-74.62624,7321
R2,41.0473,-74.62294,7331
R2,41.0479,-74.6223,7341
R2,41.0496,-74.62074,7351
R2,41.05048,-74.61984,7361
R2,41.05157,-74.61908,7371
R2,41.05211,-74.6186,7381
R2,41.05291,-74.61769,7391
R2,41.0531,-74.61738,7401
R2,41.05337,-74.61672,7411
R2,41.05395,-74.61412,7421
R2,41.05411,-74.61361,7431
R2,41.05662,-74.60864,7441
R2,41.0573,-74.60751,7451
R2,41.05794,-74.60668,7461
R2,41.0584,-74.6062,7471
R2,41.05987,-74.60496,7481
R2,41.06023,-74.60469,7491
R2,41.06054,-74.60453,7501
R2,41.06097,-74.6044,7511
R2,41.06136,-74.60438,7521
R2,41.0623,-74.60449,7531
R2,41.06293,-74.60442,7541
R2,41.06355,-74.60413,7551
R2,41.06495,-74.6032,7561
R2,41.06593,-74.60292,7571
R2,41.06785,-74.60263,7581
R2,41.06853,-74.60238,7591
R2,41.06902,-74.60212,7601
R2,41.07187,-74.60028,7611
R2,41.07234,-74.59992,7621
R2,41.07313,-74.59897,7631
R2,41.07407,-74.59714,7641
R2,41.07431,-74.59678,7651
R2,41.0747,-74.59626,7661
R2,41.0751,-74.59582,7671
R2,41.07563,-74.59537,7681
R2,41.07649,-74.59487,7691
R2,41.07985,-74.59309,7701
R2,41.08052,-74.59284,7711
R2,41.08216,-74.59206,7721
R2,41.08329,-74.59143,7731
R2,41.08367,-74.59117,7741
R2,41.08367,-74.59117,7751
R2,41.08417,-74.59081,7761
R2,41.08537,-74.58979,7771
R2,41.08554,-74.58959,7781
R2,41.08625,-74.58815,7791
R2,41.08675,-74.58758,7801
R2,41.08748,-74.58714,7811
R2,41.08856,-74.5866,7821
R2,41.0908,-74.58499,7831
R2,41.09205,-74.58398,7841
R2,41.09258,-74.58344,7851
R2,41.09555,-74.58131,7861
R2,41.09612,-74.58087,7871
R2,41.09741,-74.57973,7881
R2,41.09792,-74.57946,7891
R2,41.09836,-74.57938,7901
R2,41.09917,-74.57953,7911
R2,41.09968,-74.57971,7921
R2,41.1,-74.57968,7931
R2,41.10029,-74.57957,7941
R2,41.10054,-74.57939,7951
R2,41.10106,-74.57881,7961
R2,41.1014,-74.5785,7971
R2,41.10159,-74.57857,7981
R2,41.10177,-74.57871,7991
R2,41.10214,-74.57956,8001
R2,41.10254,-74.58026,8011
R2,41.10286,-74.58068,8021
R2,41.10338,-74.58115,8031
R2,41.10377,-74.58139,8041
R2,41.10475,-74.58168,8051
R2,41.10537,-74.58171,8061
R2,41.10636,-74.58146,8071
R2,41.10845,-74.58064,8081
R2,41.11045,-74.57991,8091
R2,41.11064,-74.57988,8101
R2,41.11081,-74.57989,8111
R2,41.11087,-74.57877,8121
R2,41.11092,-74.57859,8131
R2,41.11108,-74.57831,8141
R2,41.11125,-74.57751,8151
R2,41.11225,-74.57779,8161
R2,41.11225,-74.57779,8171
R2,41.11223,-74.57945,8181
R2,41.11263,-74.5794,8191
R2,41.11297,-74.57889,8201
R2,41.11405,-74.57842,8211
